agent,release_date,coefficient,intercept,bce_loss,average_success,beta_p50,beta_p50_low,beta_p50_high,task_count,plot
GPT 2,2019-02-14,-0.3994456860527241,-4.647476438366045,0.04536738855279778,0.013986790917791713,-11.634814445718183,-16.169180608324915,-9.592745395068233,152,True
GPT 3.5 Turbo Instruct,2022-03-15,-0.567711859245225,-4.134386502277458,0.08277537199948812,0.03702008739798962,-7.282543837950011,-8.665710687664195,-6.507894896090987,160,True
GPT-4 0314,2023-03-14,-0.8871344014804243,-1.6021242153835427,0.21894861563453719,0.26877745507138645,-1.8059543319591302,-2.390585438482021,-1.278250443826417,170,True
GPT-4 1106,2023-11-06,-0.9236486852426512,-1.587669530287788,0.29664611964906235,0.26667923769213064,-1.7189106157507192,-2.125929266287102,-1.437357106017565,670,True
GPT-4 0125,2024-01-25,-0.9180435582625113,-2.2791978272473274,0.18306742805700685,0.20772836253176033,-2.482668503835413,-3.093578939833878,-1.9608801846091182,170,True
Claude 3 Opus,2024-03-04,-1.0248404302426328,-2.270281207020279,0.23811780183804476,0.21169773145283416,-2.2152533604502564,-2.5421441438148302,-1.9204816701886156,670,True
GPT 4 Turbo,2024-04-09,-0.9486410151223341,-1.677507015483952,0.19110753680939865,0.27056084644406053,-1.768326467802602,-2.2873775694905625,-1.3044695097633752,170,True
Claude 3.5 Sonnet (Old),2024-06-20,-0.8960913667764626,-0.3409217501098559,0.2309132493332398,0.3997054172794815,-0.38045422905508436,-1.0712657588328405,0.12251582285589638,170,True
o1 preview,2024-09-12,-0.996274786974965,-0.010841670859782031,0.17643133349947257,0.4366126458313895,-0.01088220940800991,-0.4263666792147606,0.5708547454201574,169,True
Claude 3.5 Sonnet (New),2024-10-22,-1.03918363375067,0.4948646443582344,0.2762484149964516,0.5082794286056754,0.47620519442954073,0.1927164846964489,0.6925079157252163,670,True
Qwen 2.5 Coder 32B Instruct,2024-11-15,-0.6211585699421645,-2.884576222349451,0.20081247336466,0.08786190502919292,-4.643864484745065,-5.655578362141208,-3.9230385280881777,500,True
o1,2024-12-05,-0.7856973000769365,0.6059266961977343,0.2998351423289679,0.5050940783961317,0.7711961033064529,-0.1028627886866546,1.432701666548327,170,True
Claude 3.7 Sonnet,2025-02-24,-1.1321842641986601,1.5739763236779356,0.21602614732404934,0.6052916997076195,1.390212153135663,1.1880138147184673,1.5883959796876623,670,True
Qwen3 Coder 480B Instruct,2025-07-23,-0.906551468029079,1.7155384006392584,0.2595492615962467,0.6811187147383501,1.8923783824088738,1.6373989650198928,2.2519853834568826,500,True
