,a,b,human_minutes
astropy__astropy-12907,1.916665624313439,-0.8869047164916992,30.0
astropy__astropy-13033,0.9296264855252849,5.2067718505859375,30.0
astropy__astropy-13236,0.6066572593070783,4.534641742706299,30.0
astropy__astropy-13398,1.9342519435519232,4.930438995361328,120.0
astropy__astropy-13453,1.5339039593017476,-0.11859999597072601,30.0
astropy__astropy-13579,2.0186103457704925,-0.9280555248260498,120.0
astropy__astropy-13977,1.6338500600740458,5.058732032775879,30.0
astropy__astropy-14096,1.1828706667165811,-1.1072380542755127,30.0
astropy__astropy-14182,1.3418211729383211,3.1804652214050293,30.0
astropy__astropy-14309,1.3154216437734403,-3.778390645980835,3.872983346207417
astropy__astropy-14365,1.5018287532877013,2.444957733154297,30.0
astropy__astropy-14369,1.4306754812921776,1.783758282661438,120.0
astropy__astropy-14508,2.1941415149306702,-0.35001543164253235,30.0
astropy__astropy-14539,1.3946206442275326,-1.249016284942627,30.0
astropy__astropy-14598,1.0029269890485495,3.6885459423065186,30.0
astropy__astropy-14995,1.576035401225353,-2.0591349601745605,3.872983346207417
astropy__astropy-7166,1.0969964824415128,-1.817047357559204,3.872983346207417
astropy__astropy-7336,0.8326864340632693,-3.4826645851135254,3.872983346207417
astropy__astropy-7606,0.4260978378601413,6.457858562469482,30.0
astropy__astropy-7671,0.7865804056818582,-3.2735915184020996,30.0
astropy__astropy-8707,0.6072624928813344,4.981270790100098,30.0
astropy__astropy-8872,0.574827897175347,4.766474723815918,30.0
django__django-10097,0.4497558805357824,1.6785470247268677,3.872983346207417
django__django-10554,2.831020520819084,3.8722357749938965,120.0
django__django-10880,1.3495954705700115,-1.522317886352539,3.872983346207417
django__django-10914,1.031409551744693,-2.4890003204345703,3.872983346207417
django__django-10973,1.0737721047799043,-2.0744469165802,30.0
django__django-10999,1.7290477520464624,5.124200820922852,3.872983346207417
django__django-11066,1.1594038444079624,-4.063409805297852,3.872983346207417
django__django-11087,1.7133393125779959,4.949286937713623,30.0
django__django-11095,2.5652556595627027,-2.414621114730835,30.0
django__django-11099,1.2062201659193215,-3.8854453563690186,3.872983346207417
django__django-11119,0.9922148518546613,-3.9713869094848633,3.872983346207417
django__django-11133,0.9796739076036947,-3.4533536434173584,3.872983346207417
django__django-11138,2.0158506824545444,2.2474124431610107,120.0
django__django-11141,0.9484864150640033,2.6125223636627197,30.0
django__django-11149,1.2363206003334273,1.4179654121398926,30.0
django__django-11163,1.1820987524681406,-3.36698055267334,3.872983346207417
django__django-11179,1.900615574360618,-2.0848875045776367,3.872983346207417
