,a,b,human_minutes
astropy__astropy-12907,2.3746458621997992,-0.7688631415367126,30.0
astropy__astropy-13033,0.9354715605529272,5.279531478881836,30.0
astropy__astropy-13236,0.5252805442096159,4.853113174438477,30.0
astropy__astropy-13398,3.118886623263153,4.681510925292969,120.0
astropy__astropy-13453,1.4918773923749604,-0.237461119890213,30.0
astropy__astropy-13579,2.2694214787331655,-0.8889943957328796,120.0
astropy__astropy-13977,3.3858479356736515,4.408115863800049,30.0
astropy__astropy-14096,1.237042701203866,-0.9911977052688599,30.0
astropy__astropy-14182,1.2764397749626875,3.081108331680298,30.0
astropy__astropy-14309,1.5838494405186376,-3.458609104156494,3.872983346207417
astropy__astropy-14365,1.6995632534615643,2.4838483333587646,30.0
astropy__astropy-14369,1.3576411708792273,1.9131262302398682,120.0
astropy__astropy-14508,2.08724440876338,-0.3575439155101776,30.0
astropy__astropy-14539,1.692522002312184,-1.1465636491775513,30.0
astropy__astropy-14598,1.1032939072014107,3.630275249481201,30.0
astropy__astropy-14995,2.1864139643357685,-1.9604820013046265,3.872983346207417
astropy__astropy-7166,1.2076475407149623,-1.5922702550888062,3.872983346207417
astropy__astropy-7336,0.9056771780509216,-3.3402459621429443,3.872983346207417
astropy__astropy-7606,0.44584987175563784,6.852077484130859,30.0
astropy__astropy-7671,0.7450463548757695,-3.036487340927124,30.0
astropy__astropy-8707,0.47841912973155437,5.316766738891602,30.0
astropy__astropy-8872,0.6514538486958553,5.079171657562256,30.0
django__django-10097,0.44306916361556403,1.739696741104126,3.872983346207417
django__django-10554,3.112870384520281,4.577306270599365,120.0
django__django-10880,1.3776136086115243,-1.3531368970870972,3.872983346207417
django__django-10914,1.2287227736951127,-2.377662420272827,3.872983346207417
django__django-10973,0.903829514625775,-1.8073493242263794,30.0
django__django-10999,4.003280091677449,4.270697593688965,3.872983346207417
django__django-11066,1.3756223919819248,-3.563054084777832,3.872983346207417
django__django-11087,3.7267840550865254,4.223728179931641,30.0
django__django-11095,2.883416326945058,-2.20963454246521,30.0
django__django-11099,1.270420426301642,-3.6105425357818604,3.872983346207417
django__django-11119,1.3048217377244102,-3.70991587638855,3.872983346207417
django__django-11133,1.0233044598165366,-3.136770725250244,3.872983346207417
django__django-11138,2.29937409295033,2.3083934783935547,120.0
django__django-11141,0.8549321370619382,2.7775895595550537,30.0
django__django-11149,1.2193116264050508,1.4129784107208252,30.0
django__django-11163,1.3812429353092028,-3.1815197467803955,3.872983346207417
django__django-11179,1.8533327407569216,-1.7897616624832153,3.872983346207417
django__django-11206,0.4853552005692807,1.3872283697128296,30.0
django__django-11211,1.9444141860200501,-0.6220118403434753,30.0
django__django-11239,1.3650300582090467,0.5763254761695862,3.872983346207417
django__django-11265,0.5939596566158455,1.6910358667373657,30.0
django__django-11276,0.7555830323353399,-1.9347741603851318,30.0
django__django-11292,2.412321315004202,-1.3896207809448242,30.0
django__django-11299,1.5369659112731318,0.08183476328849792,3.872983346207417
django__django-11333,1.6815680036430336,0.32461413741111755,30.0
django__django-11400,3.8389929337886115,4.4857258796691895,120.0
django__django-11433,1.873378718308342,2.0183277130126953,3.872983346207417
django__django-11451,0.979376262901716,-1.794424057006836,3.872983346207417
django__django-11477,0.960244204035283,5.091930389404297,30.0
django__django-11490,1.2369313317795736,0.618269681930542,3.872983346207417
django__django-11532,0.4672484084079343,0.972944438457489,30.0
django__django-11551,1.7527601907837191,-2.2515809535980225,30.0
django__django-11555,1.0895423923358916,0.37288299202919006,3.872983346207417
