,a,b
astropy__astropy-12907,2.1514798303726232,-0.8652501106262207
astropy__astropy-13033,0.9526203978974862,4.738861083984375
astropy__astropy-13236,0.5633718409413017,3.899068832397461
astropy__astropy-13398,1.9040270537166921,4.9091010093688965
astropy__astropy-13453,1.9959839465151334,-0.18129195272922516
astropy__astropy-13579,2.063352760478571,-1.0187007188796997
astropy__astropy-13977,1.5625944744660638,4.922607898712158
astropy__astropy-14096,1.249238498887986,-1.0335370302200317
astropy__astropy-14182,1.7555777819550729,2.9294979572296143
astropy__astropy-14309,1.2052895395976904,-3.8303112983703613
astropy__astropy-14365,1.4426986580851149,2.4159090518951416
astropy__astropy-14369,1.8164097698196107,1.9829068183898926
astropy__astropy-14508,1.7801844089587833,-0.3469861149787903
astropy__astropy-14539,1.5258563210277423,-1.3827160596847534
astropy__astropy-14598,1.2032413210670059,3.4941494464874268
astropy__astropy-14995,1.698510141786008,-2.096717119216919
astropy__astropy-7166,0.986410347849248,-1.8383749723434448
astropy__astropy-7336,1.2091987095586965,-3.202892780303955
astropy__astropy-7606,0.49660534849696847,5.691521644592285
astropy__astropy-7671,0.7344020237879353,-3.001230478286743
astropy__astropy-8707,0.5712949347519161,4.29861307144165
astropy__astropy-8872,0.7104252200196451,4.2327351570129395
django__django-10097,0.5548089081854727,1.3431131839752197
django__django-10554,2.120338926312094,5.042695999145508
django__django-10880,1.1167677692887366,-1.4294592142105103
django__django-10914,1.1016087350946493,-2.452378273010254
django__django-10973,1.0483918197925233,-1.9048868417739868
django__django-10999,2.164375226983118,4.941916465759277
django__django-11066,1.3509094889683761,-3.9638452529907227
django__django-11087,1.9903752717947607,4.871064186096191
django__django-11095,2.2300052061780153,-2.592175006866455
django__django-11099,1.1981641719441285,-4.1101908683776855
django__django-11119,1.0830432969912593,-4.063504695892334
django__django-11133,1.012324913040505,-3.337306261062622
django__django-11138,2.2410073522368843,2.3384907245635986
django__django-11141,1.044910743992182,2.3850209712982178
django__django-11149,1.1183118102010003,1.4376590251922607
django__django-11163,2.2745866067778193,-2.921809673309326
django__django-11179,2.4029347551200018,-2.121115207672119
django__django-11206,0.6142023708454863,1.3621951341629028
django__django-11211,2.2985679492862885,-0.9084509611129761
django__django-11239,1.5642997811080275,0.6728626489639282
django__django-11265,0.7142295770821385,1.2560943365097046
django__django-11276,0.7737648597447007,-1.9071568250656128
django__django-11292,2.359602304219237,-1.3976036310195923
django__django-11299,1.6929321380287763,0.004876940511167049
django__django-11333,2.006831967330727,0.31255269050598145
django__django-11400,1.83811419296401,4.842160224914551
django__django-11433,1.8840420844108783,2.0736560821533203
django__django-11451,0.8086859869929982,-2.0000717639923096
django__django-11477,0.8529540765095424,4.85783052444458
django__django-11490,1.2958906489811037,0.5983023047447205
django__django-11532,0.49904012451804625,0.7756794095039368
django__django-11551,1.4771521866785267,-2.4877243041992188
django__django-11555,1.0346666624245802,0.6776180863380432
django__django-11603,1.3929212576880317,-3.309377908706665
django__django-11728,1.5487814172999639,2.4361467361450195
django__django-11734,1.4894549693810895,3.7038686275482178
django__django-11740,1.7696924740927302,-0.2921265959739685
django__django-11749,1.474456506321064,-1.0139528512954712
django__django-11790,0.27976975072573557,3.9761457443237305
django__django-11815,0.658648902028438,-0.9330082535743713
django__django-11820,2.043758395301088,3.8144242763519287
django__django-11848,0.4949341396786247,2.027392864227295
django__django-11880,2.148654291752873,-2.998162269592285
django__django-11951,1.3061082775585164,-1.9621058702468872
django__django-11964,0.5078852658627566,2.1448380947113037
django__django-11999,1.566360658882383,-1.7250319719314575
django__django-12039,1.0505845373292564,-0.20850436389446259
django__django-12050,1.861592389369818,-1.996828317642212
django__django-12125,0.9461663660099184,0.33450785279273987
django__django-12143,1.2722439310060087,-3.2379634380340576
django__django-12155,0.9657784118621838,-4.206794261932373
django__django-12193,0.48346877214567646,-0.5441514849662781
django__django-12209,1.4966628297988085,-1.8818604946136475
django__django-12262,1.3816369333384904,-0.8869530558586121
django__django-12273,0.8539355990893488,2.8643620014190674
django__django-12276,0.9812962751913727,-2.208498477935791
django__django-12304,1.944675433416192,-0.5069990754127502
django__django-12308,0.5416753894752223,2.8857457637786865
django__django-12325,0.5241962701626319,3.583871841430664
django__django-12406,2.027387117835762,4.91074800491333
django__django-12419,0.9129689466797568,-3.423304557800293
django__django-12663,1.6141505131630247,0.44564366340637207
django__django-12708,1.707816231905852,-0.6980555057525635
django__django-12713,1.1656465794059574,-2.088728904724121
django__django-12741,1.2383994957920308,-1.1141237020492554
django__django-12754,2.2143720035595647,0.3632626533508301
django__django-12774,1.9059044033798689,0.09779161959886551
django__django-12858,1.3654386793015765,-0.8365507125854492
django__django-12965,2.1242201281936826,0.722678542137146
django__django-13012,1.2010159757036596,-0.899206817150116
django__django-13023,1.1966026050651402,0.2922661304473877
django__django-13028,1.4105216489058217,-1.3581972122192383
django__django-13033,2.0071769709877585,-0.2730259299278259
django__django-13089,1.2335897603475166,-3.123645544052124
django__django-13109,1.5066381188518931,-3.0977940559387207
django__django-13112,2.1240307230125968,0.5601746439933777
django__django-13121,1.7770855939979213,0.24981331825256348
django__django-13128,2.1844919317309675,0.39665570855140686
django__django-13158,1.9569509276772799,-0.1016911044716835
django__django-13195,1.7063472672279385,3.7199995517730713
django__django-13212,2.367392708405797,4.971246719360352
django__django-13279,1.5433189884014582,-0.8237971067428589
django__django-13297,2.018670144976861,0.19860586524009705
django__django-13315,1.0427404498132655,-0.8159810304641724
django__django-13343,1.1259303445368707,-1.2566460371017456
django__django-13344,1.6000291914131766,3.6736884117126465
django__django-13346,1.6044520779202982,0.46040233969688416
django__django-13363,1.6031599777886096,-2.6062967777252197
django__django-13401,1.044644481547029,-1.131726622581482
django__django-13406,1.2113624084016663,0.21079835295677185
django__django-13410,1.1988556082887933,-3.0424792766571045
django__django-13417,1.536783938171373,-1.6739752292633057
django__django-13449,2.3306053635454815,-0.23908933997154236
django__django-13512,1.181266049378021,1.0306936502456665
django__django-13513,2.0711467628643376,5.0060811042785645
django__django-13516,2.1877305969264946,-1.8447483777999878
django__django-13551,1.1986351111473332,0.28020650148391724
django__django-13568,1.3191518773764352,0.573432207107544
django__django-13569,1.37784781242561,-1.0707470178604126
django__django-13590,1.1912293142758763,-1.1256598234176636
django__django-13658,1.1101228171917152,-4.4903035163879395
django__django-13670,1.5260219920288718,-2.736302614212036
django__django-13741,1.131830854884433,-3.3188586235046387
django__django-13786,1.3394476251774454,-2.4952714443206787
django__django-13794,0.6644644909692581,4.475905418395996
django__django-13807,1.492056893889084,0.8227849006652832
django__django-13809,0.8549807395656445,-1.7396812438964844
django__django-13810,0.8534420006298469,-1.3361239433288574
django__django-13820,2.0881732075752426,-2.467632532119751
django__django-13821,1.6521246758522155,-2.231369972229004
django__django-13837,1.4869606107664075,-1.443609356880188
django__django-13925,0.7688615582905605,0.478365033864975
django__django-13933,1.3390489770366367,-2.2535624504089355
django__django-13964,1.161111168321781,-0.3054150342941284
django__django-14007,1.4353837776323346,-0.5326173305511475
django__django-14011,2.0962390053309488,4.866088390350342
django__django-14017,2.1552796736252624,-0.5973471403121948
django__django-14034,2.1990862853940794,4.697235107421875
django__django-14053,0.6755075666980059,-1.793993353843689
django__django-14089,1.2327493312774571,-3.2403719425201416
django__django-14122,1.1028345030226254,-0.5198178291320801
django__django-14140,0.43424609039168,2.4130539894104004
django__django-14155,1.9958838953250468,4.857553005218506
django__django-14170,1.5085732152218458,3.5624778270721436
django__django-14238,1.5827582612639073,-1.5835601091384888
django__django-14311,1.6389594022674252,0.3398780822753906
django__django-14315,0.9609746144616035,4.362710475921631
django__django-14349,1.3429958151816834,-2.030717134475708
django__django-14351,0.8959930159962874,0.6982833743095398
django__django-14373,2.724461889756007,-4.18345832824707
django__django-14376,1.2445675091641288,1.892778992652893
django__django-14404,1.0466015126059955,1.3962725400924683
django__django-14434,1.5867775119805463,-0.9872360825538635
django__django-14493,1.600494756059821,-1.6826008558273315
django__django-14500,0.8145847184653975,-1.446326732635498
django__django-14534,1.1699276980025934,3.099623918533325
django__django-14539,1.2146823589252649,-1.6844793558120728
django__django-14559,0.9885574296839166,-1.1800057888031006
django__django-14580,1.2571362451686174,-0.04139646142721176
django__django-14608,1.2910896835721466,-1.313111424446106
django__django-14631,1.277125189106982,0.8660694360733032
django__django-14672,1.3820925796008696,-2.354262351989746
django__django-14725,1.1216264785764227,3.4228053092956543
django__django-14752,2.018164855335458,-3.0480754375457764
django__django-14765,1.1755617803747602,-3.274937629699707
django__django-14771,0.9738199412766064,0.10222046077251434
django__django-14787,1.8521677881273741,-1.4459364414215088
django__django-14792,1.6806023715913498,4.2985405921936035
django__django-14855,1.4713719608144429,-3.5715346336364746
django__django-14915,1.793462713842346,-2.736971378326416
django__django-14999,0.8804750076292641,-1.0059419870376587
django__django-15022,0.4768635214231514,-0.5226953625679016
django__django-15037,1.5883276195961533,0.16019561886787415
django__django-15098,1.7341320156087352,3.799440383911133
django__django-15103,1.4670652043452488,-1.297151803970337
django__django-15104,2.149572235791625,-3.4231128692626953
django__django-15127,0.7519646165737586,2.1122117042541504
django__django-15128,0.8410354127939533,0.04678112640976906
django__django-15161,1.6224729200527028,0.1286914199590683
django__django-15252,1.7621344270564614,4.009654521942139
django__django-15268,1.50051559135451,0.2567758560180664
django__django-15277,1.5854179969476825,-2.802360773086548
django__django-15278,2.269837060263285,-1.519012212753296
django__django-15280,2.0875578197248235,2.4816982746124268
django__django-15315,1.1223152459074506,-2.2249748706817627
django__django-15368,2.41446107357102,-2.7564425468444824
django__django-15375,1.850361236897799,0.5413453578948975
django__django-15380,1.1396910791033978,-1.5930308103561401
django__django-15382,2.2042022153839453,-0.49934419989585876
django__django-15467,2.31249615348727,-3.5591912269592285
django__django-15499,1.6587617474039549,-2.158207416534424
django__django-15503,1.963713553644165,1.8347188234329224
django__django-15525,1.631445981486662,-0.2875243127346039
django__django-15554,1.9388509176836919,1.9259850978851318
django__django-15561,1.8561817795934872,-1.3170700073242188
django__django-15563,0.8708340000886117,2.8424270153045654
django__django-15569,1.4472507785389315,-3.0008480548858643
django__django-15572,1.0096986855622734,-1.6431353092193604
django__django-15629,1.9387944074568504,5.221186637878418
django__django-15695,0.7034555752183381,3.6752092838287354
django__django-15731,1.1973056290668873,-2.5151894092559814
django__django-15732,0.6314661785086395,2.860283613204956
django__django-15741,1.0501063020112469,-2.4408211708068848
django__django-15814,1.7297586980028723,-1.0822832584381104
django__django-15851,1.8169650450782038,-2.490780830383301
django__django-15863,1.560949919971879,-1.5366041660308838
django__django-15916,0.956697224404362,1.5573747158050537
django__django-15930,1.5541173693656574,-0.5107172131538391
django__django-15957,1.6132405668255874,2.767289876937866
django__django-15973,1.809657538051265,2.9477322101593018
django__django-15987,0.4449644584980143,-1.6981720924377441
django__django-16032,2.2004948831876314,-0.30990567803382874
django__django-16082,1.6676319623575815,-0.8446670770645142
django__django-16100,0.9792805520315199,-1.1551257371902466
django__django-16116,1.3909273150329695,-1.5637750625610352
django__django-16136,1.4773462949231044,-1.3743922710418701
django__django-16139,1.069644087429441,-3.4279403686523438
django__django-16145,1.506579389076645,-2.3370718955993652
django__django-16255,1.2326236910084023,-4.454148292541504
django__django-16256,1.5416849798776648,3.118133544921875
django__django-16263,2.0585675442836244,5.2224907875061035
django__django-16315,1.3313703482321404,0.6181913018226624
django__django-16333,1.36132250762177,-2.653069496154785
django__django-16429,1.4089592495643588,-3.167470932006836
django__django-16454,0.7389739649531893,2.133044481277466
django__django-16485,1.4902350477432393,-2.538090229034424
django__django-16493,1.787217259780694,-2.202387809753418
django__django-16502,2.379666487826507,5.040169715881348
django__django-16527,1.3129977863416922,-3.970522403717041
django__django-16560,1.4842485348046717,1.0683820247650146
django__django-16569,1.016846849336472,-4.629261493682861
django__django-16595,1.4415385399450158,-2.816258430480957
django__django-16612,1.2103640022774287,-2.1732542514801025
django__django-16631,2.1394414213813095,4.993007659912109
django__django-16642,0.6017338422540771,-0.7837027311325073
django__django-16661,1.351059990128736,-0.041286271065473557
django__django-16662,1.4137959501229955,-2.0368878841400146
django__django-16667,1.8342567988646012,4.900099277496338
django__django-16801,1.4158017050991831,-3.0649523735046387
django__django-16819,2.055913901372326,-1.528840184211731
django__django-16877,0.7382106410023348,0.28245651721954346
django__django-16899,1.2502453486417766,-1.5697578191757202
django__django-16901,1.598467282696895,-1.0687282085418701
django__django-16938,1.052999094475559,1.8757641315460205
django__django-16950,1.6164271674803783,1.8362571001052856
django__django-17029,1.3785672197484982,-3.469221591949463
django__django-17084,1.2678392899411834,0.8320622444152832
django__django-17087,2.455866032255534,-0.9295158386230469
django__django-7530,0.5506531043343048,-3.1591367721557617
django__django-9296,1.3799043878584858,-3.4461774826049805
matplotlib__matplotlib-13989,1.313719822979337,-1.6555101871490479
matplotlib__matplotlib-14623,1.625871419261296,0.26354971528053284
matplotlib__matplotlib-20488,1.1729169947786702,1.5628249645233154
matplotlib__matplotlib-20676,0.7904733848829606,2.2087202072143555
matplotlib__matplotlib-20826,0.8909893471584922,1.2877867221832275
matplotlib__matplotlib-20859,1.1725218178255457,-1.369295597076416
matplotlib__matplotlib-21568,1.8807502624984276,4.9854936599731445
matplotlib__matplotlib-22719,0.9171109938454749,-2.786853551864624
