,a,b
astropy__astropy-12907,2.1143770357970006,-0.5839868187904358
astropy__astropy-13033,0.9414195662199868,4.727022171020508
astropy__astropy-13236,0.7591936768704495,3.8783745765686035
astropy__astropy-13398,2.041051820734649,4.860861778259277
astropy__astropy-13453,1.996078886764468,-0.03402390703558922
astropy__astropy-13579,2.0873594906877595,-0.7889620661735535
astropy__astropy-13977,1.7459401468077616,5.200228214263916
astropy__astropy-14096,1.0697346881953353,-0.9783068299293518
astropy__astropy-14182,1.5307427678806642,2.659303903579712
astropy__astropy-14309,1.4170691522998693,-3.127420663833618
astropy__astropy-14365,1.4793904471833876,2.463336706161499
astropy__astropy-14369,1.7396597348731486,1.79716157913208
astropy__astropy-14508,2.3475870454002448,-0.28198012709617615
astropy__astropy-14539,1.3533963957102446,-1.3489447832107544
astropy__astropy-14598,1.103321486250598,3.3417775630950928
astropy__astropy-14995,1.570884657837189,-2.006988763809204
astropy__astropy-7166,1.1088977143931171,-1.7138644456863403
astropy__astropy-7336,1.1567913602006306,-2.8837029933929443
astropy__astropy-7606,0.502940864467303,5.244647026062012
astropy__astropy-7671,0.8543783783421467,-2.3295576572418213
astropy__astropy-8707,0.7079297759017463,4.116299152374268
astropy__astropy-8872,0.5635251525736862,4.184322834014893
django__django-10097,0.7385615426179071,1.1936967372894287
django__django-10554,1.8142860664873002,4.903733253479004
django__django-10880,1.2218794119460756,-1.3196330070495605
django__django-10914,1.099582406685237,-2.462021589279175
django__django-10973,1.2987162307049487,-1.8043968677520752
django__django-10999,1.9099980798573433,4.683961391448975
django__django-11066,1.5186919295657353,-3.1689562797546387
django__django-11087,1.4911947547108337,5.308459281921387
django__django-11095,2.031050234537476,-2.3899340629577637
django__django-11099,1.1696528423159436,-3.7852790355682373
django__django-11119,1.0738510139043758,-2.9810688495635986
django__django-11133,2.9325550982314135,-2.303511142730713
django__django-11138,1.7376753768756077,2.1715126037597656
django__django-11141,1.4853235017469357,2.193620204925537
django__django-11149,1.1709346764740096,1.4599865674972534
django__django-11163,1.8159494791657855,-2.835954189300537
django__django-11179,2.131199864423259,-1.8358110189437866
django__django-11206,0.7155323204358855,1.3806124925613403
django__django-11211,2.39544098858362,-0.6741796731948853
django__django-11239,2.078997715509369,0.7564160227775574
django__django-11265,0.7741171812765967,1.3904016017913818
django__django-11276,0.7598067649378123,-1.989716649055481
django__django-11292,2.276330103179258,-1.3334439992904663
django__django-11299,1.4626345239445482,-0.13656651973724365
django__django-11333,1.9180803500421568,0.18707388639450073
