,a,b
astropy__astropy-12907,1.2921324591441647,-1.3564445972442627
astropy__astropy-13033,1.3960763971138421,3.0234901905059814
astropy__astropy-13236,1.4734707723699076,2.8354477882385254
astropy__astropy-13398,1.3997690898777302,3.0751352310180664
astropy__astropy-13453,1.166689214685282,-1.2193776369094849
astropy__astropy-13579,1.1578200879975122,0.8083990216255188
astropy__astropy-13977,2.041966271631958,2.850741386413574
astropy__astropy-14096,1.983332383376646,-0.03205668926239014
astropy__astropy-14182,1.1108671559480416,3.1691782474517822
astropy__astropy-14309,1.1061602113499804,-4.271713733673096
astropy__astropy-14365,1.7230503369916375,3.242055892944336
astropy__astropy-14369,2.0392967122963586,3.278561592102051
astropy__astropy-14508,0.8432900765192345,1.4028079509735107
astropy__astropy-14539,1.1915525806275322,-4.018256187438965
astropy__astropy-14598,1.5081717399556929,3.0546255111694336
astropy__astropy-14995,0.9945031010825074,-0.6412521600723267
astropy__astropy-7166,1.9867486859533525,0.28106215596199036
astropy__astropy-7336,1.7146530153755042,-2.540715456008911
astropy__astropy-7606,1.3273285930573409,3.242267370223999
astropy__astropy-7671,0.5989018665086011,-1.8174097537994385
astropy__astropy-8707,1.3739660966048064,3.0780858993530273
astropy__astropy-8872,1.7988378159480678,2.978557825088501
django__django-10097,1.6199717845948012,3.044997215270996
django__django-10554,1.4221022780838581,3.2740907669067383
django__django-10880,0.6403254236953793,-2.0072414875030518
django__django-10914,1.4677935304329266,-0.956641674041748
django__django-10973,0.5649226617000133,-2.105544090270996
django__django-10999,1.4497856305294552,3.064497947692871
django__django-11066,1.341438888874067,-4.428910732269287
django__django-11087,1.830932131503923,3.103660821914673
django__django-11095,1.5166258344810757,-3.9999136924743652
django__django-11099,1.3581556877222953,-4.1830596923828125
django__django-11119,1.385793754872676,-2.3330535888671875
django__django-11133,1.3335482636372984,-0.720084547996521
django__django-11138,1.20097420592282,3.346818208694458
django__django-11141,1.4468765323489812,3.1946332454681396
django__django-11149,1.6857121695112962,2.959733724594116
django__django-11163,1.7203219665553418,-2.0565106868743896
django__django-11179,1.3274939931633332,-1.1859846115112305
django__django-11206,0.47837684236916656,-0.7215451598167419
django__django-11211,2.0843802305427834,-0.13365833461284637
django__django-11239,1.25635433825879,1.2465850114822388
django__django-11265,1.1459304801381986,1.2488069534301758
django__django-11276,1.404338299689929,1.1519042253494263
django__django-11292,1.7880799060413368,-0.35258588194847107
django__django-11299,0.8503892482198226,-0.7524020671844482
django__django-11333,0.9648034350672469,3.2937557697296143
django__django-11400,1.42910574989496,3.0022552013397217
django__django-11433,2.0688008147995265,2.7844977378845215
django__django-11451,0.5863605237688652,-1.9756426811218262
django__django-11477,1.5085306396635652,3.50492000579834
django__django-11490,2.1916170635607273,0.06927363574504852
django__django-11532,2.0207796508787372,3.082317590713501
django__django-11551,2.0895400295283166,0.12599274516105652
django__django-11555,0.5489084255305428,1.462020993232727
django__django-11603,1.3798945180484794,-3.8603756427764893
django__django-11728,1.8786437116230166,2.9262874126434326
django__django-11734,1.2359942131521031,3.3456904888153076
django__django-11740,2.810652069499928,0.1086735799908638
django__django-11749,0.951016848921376,-0.7211941480636597
django__django-11790,1.540136190554637,3.18643856048584
django__django-11815,1.5745670201661985,1.2143428325653076
django__django-11820,1.2643040418526517,3.2547342777252197
django__django-11848,0.39038711529139986,1.717812180519104
django__django-11880,1.489110770778471,-0.9944616556167603
django__django-11951,0.49631976118709203,-1.1533008813858032
django__django-11964,0.9114297018659712,1.5788652896881104
django__django-11999,1.2876908713194568,-0.8327661156654358
django__django-12039,1.4386415740221363,1.0889744758605957
django__django-12050,2.228491245023421,-0.099151611328125
django__django-12125,1.1746155300032002,1.2811111211776733
django__django-12143,0.6488646418571163,0.042928826063871384
