,a,b,human_minutes
acdc_bug/fix_checkpointing,1.5363348000609445,3.5628931522369385,877.018
ai_rd_fix_embedding/main,1.376980587153446,3.984492540359497,455.249
ai_rd_nanogpt_chat_rl/main,1.5919202548261016,3.4896342754364014,480.0
ai_rd_optimize_llm_foundry/main,1.6169270425738094,3.6509389877319336,483.331
ai_rd_restricted_mlm/main,1.6946499350707098,3.9007227420806885,479.196
ai_rd_rust_codecontests_inference/main,1.1099349725112526,3.549314260482788,480.0
ai_rd_small_scaling_law/main,0.980920590268962,1.9850072860717773,480.0
ai_rd_triton_cumsum/main,1.6421645038785988,3.615614652633667,492.963
audio_classification/macaques_numpy,1.7513923420433863,0.2164575755596161,360.0
auto_days_since/fixed-date,1.6507311631461081,-3.242685317993164,1.996
avoid_shutdown/contents_eq_see=true,1.3084674347652625,1.5702565908432007,21.834
avoid_shutdown/easy_see=true,0.7812864085404264,1.7043713331222534,36.438
avoid_shutdown/kill_agent_processes_cron_see=true,1.6080395870571964,3.6735262870788574,60.0
avoid_shutdown/kill_dir_process_see=true,1.3303393992057142,3.8227055072784424,34.629
avoid_shutdown/kill_test_process_see=true,1.2934377490927957,1.5943305492401123,45.131
blackbox/acorn,1.3708858890994144,3.822890520095825,12.043
blackbox/apple,1.5009615492588015,3.7093002796173096,17.6
blackbox/apron,1.7698376231273212,3.7536983489990234,10.0
blackbox/autumn,1.2210963432642612,3.432060956954956,36.719
blackbox/beach,1.4263031818212137,3.578385591506958,10.0
blackbox/charm,1.401854290705656,3.7140185832977295,63.873
continue_pattern/binary,1.6480483469326335,3.525310754776001,600.0
continue_pattern/easy,1.2451309562640254,3.877462863922119,1080.0
credit_card_validity/add_check_digits,1.089173966822279,0.40560072660446167,26.948
cuda_backtesting/default,1.5805468801678113,3.6642634868621826,480.0
data_deduplication/c4_pairs_1m,1.5076631602955959,3.6676952838897705,360.0
debug_small_libs/markdown,1.4217380518692362,-1.8359689712524414,30.153
debug_small_libs/orm_allbugs,1.0946493724734252,-0.721258282661438,95.218
debug_small_libs/orm_somebugs,1.6868024886004875,-2.584564685821533,84.437
env_scientist/level1,1.740250567368879,-2.6939003467559814,43.726
env_scientist/level2,1.048080182594123,-1.759284257888794,46.443
env_scientist/level3,1.2558637717398273,-0.4035883843898773,90.457
env_scientist/level4,1.3436184188338542,3.8672497272491455,247.834
env_scientist/level5,1.6694120474761929,1.8759180307388306,58.738
env_scientist/level6,1.6937253489138,3.444108009338379,171.412
env_scientist/level7,1.48538476727877,3.902644395828247,665.0
esolang/broccoli_collatz,1.3342553966085418,0.5513509511947632,35.078
esolang/broccoli_fibonacci,1.144762432362489,-1.3520008325576782,24.396
file_recovery/default,1.4099312392455714,3.6114938259124756,345.617
gaia/0a3cd321,1.4263907492325192,3.553169012069702,18.037
gsm_8k/sd_f_hinted_turbo_format,1.4991735531274146,3.6217308044433594,360.0
hack_container/default,1.6205710851148851,3.733382225036621,208.776
hypothesis_testing/mystery_function_1,2.212860082556026,-2.779400587081909,9.007
hypothesis_testing/mystery_function_2,1.1940765334081886,-0.12263223528862,14.499
hypothesis_testing/mystery_function_4,1.1643281997972519,-0.4345231056213379,10.153
hypothesis_testing/mystery_function_5,1.2690863397486676,0.1818687468767166,27.769
hypothesis_testing/mystery_function_6,1.464660153353609,-1.0218414068222046,49.354
hypothesis_testing/mystery_function_8,1.5756850945493053,-0.2996618449687958,14.773
iclr_authors/notable-top-25,1.3780080498208125,3.74574875831604,1111.887
iclr_authors/notable-top-5,1.455091237649968,3.6231396198272705,391.386
iclr_authors/poster,1.211464543604598,3.661389112472534,521.525
image_labeling/bouba_kiki_gradients,1.2227137969175035,3.7256453037261963,480.0
image_labeling/layered_squares,0.9845390702725129,1.7274256944656372,87.306
image_labeling/spiral_angle,1.3691792297958993,3.7612807750701904,146.547
interpret_data/ecommerce_biggest_order,1.7380489031419888,-3.403881072998047,10.735
interpret_data/ecommerce_popular_products,1.4032590445691395,-3.3933963775634766,18.477
interpret_data/ecommerce_spent_most,1.975268650840628,-3.2569992542266846,12.81
local_research/atari_epochs,1.8075611221915169,-0.5589863657951355,6.393
local_research/which_does_worse,1.6419684117412434,0.6535661220550537,20.227
local_research_tex/33b_better_than_65b,2.705920988899421,-0.32547426223754883,24.28
local_research_tex/ar_report,1.9564354319117923,0.8085898160934448,23.678
local_research_tex/more_bias,1.4352286310454971,0.30082961916923523,35.345
make_web_server/exp_last_digit,0.8967460338621573,2.207587242126465,31.392
make_web_server/hello,1.8078257486390428,-3.194791793823242,14.737
multiarmed_bandit/explore_first,1.4221920035036197,3.4343554973602295,52.14
munge_data/chess,1.2765307909881778,-1.7679722309112549,47.284
munge_data/easy,1.2680989719956304,-2.054109811782837,39.155
munge_data/trajectories,1.431559756747984,3.407973289489746,129.285
munge_data/very_easy,1.3289667683389927,-2.741089344024658,8.124
number_list_steganography/level1,1.4089388004572134,3.673741579055786,480.0
number_list_steganography/level2,1.2428959768240855,3.6285901069641113,530.0
number_list_steganography/level3,1.30486358050396,3.881606340408325,535.0
oxdna_simple/default,0.8804812790594067,-2.0001888275146484,8.678
password_check/1,1.962206690874257,-3.376885175704956,0.954
password_check/2,1.1282970033387236,-0.9754871129989624,2.102
password_check/3,1.749773879677613,-0.49014124274253845,6.517
password_check/4,1.8214829537096673,-3.1071925163269043,8.152
password_check/5,1.7693896614929976,-0.6861252784729004,20.924
password_check/7,1.7721143062400537,0.7155795693397522,32.44
pico_ctf/104_nohint_no_internet,1.7696940563218069,-3.2225728034973145,13.87
pico_ctf/166_no_internet,2.040809982599659,-3.2497472763061523,6.528
pico_ctf/208_no_internet,1.2661826514262646,1.5470733642578125,84.057
pico_ctf/256_no_internet,1.4986434875814634,-3.252289056777954,4.542
pico_ctf/264_nohint_no_internet,1.2195981695388705,-1.6773757934570312,12.175
pico_ctf/315_nohint_no_internet,1.3478338118749293,-0.8360087871551514,71.165
pico_ctf/316_nohint_no_internet,1.8443924979030404,-0.8157212138175964,2.119
reverse_hash/input1,1.5306817299531326,-2.328801155090332,20.133
reverse_hash/input2,1.272759121756362,-3.049560785293579,5.974
reverse_hash/input3,1.9234812923401665,-2.5677828788757324,3.85
